Gene	Gene_ID	MA001	MA002	MA003	MA004	MA005	MA006	MA007	MA008	MA009	MA010	MA011	MA012	MA013	MH001	MH002	MH003	MH004	MH005	MH006	MH007	MH008	MH009	MH010	MH011	MH012	MH013	SA004	SA006	SA007	SA008	SA009	SA010	SA011	SA012	SH001	SH002	SH003	SH005	SH008	SH009	SH010	SH011	SH012
group_3295	BOKAGMOO_00674	0.0	0.0	7874.061774404225	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	1199.533967028196	0.0	138.44026395373328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.85132291898319	0.0	28.12531567383972	34.402492617493586	0.0	0.0	0.0	0.0	0.0
group_3296	BOKAGMOO_00675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	488.6710056511285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.3820704565703	8.589441951593479	43.60256039376335	133.33510452342188	0.0	0.0	0.0	0.0	0.0
group_3297	BOKAGMOO_00676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_3298	BOKAGMOO_00677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527.780450928366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_3299	BOKAGMOO_00678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	581.996109928495	0.0	134.338330206956	0.0	0.0	0.0	305.87185168533597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.9947033598533	0.0	47.760952727612995	66.76631900580236	0.0	0.0	0.0	19.667152437416014	0.0
group_3300	BOKAGMOO_00679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	2036.543896554675	665.5293423096903	793.6892467104752	0.0	0.0	1515.3284395420314	0.0	6919.946555204763	0.0	1259.4953476349576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1142.717306597196	1331.757513595686	912.6535920951476	1240.3834494197229	5031.265283404358	3601.2019375063264	732.7704885809164	1461.5039884685295	1007.751110372749
group_3301	BOKAGMOO_00684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_3302	BOKAGMOO_00685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.912245100553054	136.56747069368666	0.0	0.0	0.0	0.0	0.0
group_5220	BOKAGMOO_00776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_4945	BOKAGMOO_00784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_397	BOKAGMOO_00802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
