Gene_ID	MA001	MA002	MA003	MA004	MA005	MA006	MA007	MA008	MA009	MA010	MA011	MA012	MA013	MH001	MH002	MH003	MH004	MH005	MH006	MH007	MH008	MH009	MH010	MH011	MH012	MH013	SA004	SA006	SA007	SA008	SA009	SA010	SA011	SA012	SH001	SH002	SH003	SH005	SH008	SH009	SH010	SH011	SH012
IHJHGAMB_01435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	44	22	14	0	0	19	0	0
IHJHGAMB_01436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHJHGAMB_01437	0	0	0	0	0	0	0	0	0	0	0	0	0	12	35	47	8	24	0	2	2	0	9	11	0	0	0	0	0	0	0	0	0	0	79	879	752	178	33	1	449	279	1
IHJHGAMB_01438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHJHGAMB_01439	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	11	6	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	163	214	71	0	0	147	0	1
IHJHGAMB_01440	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	25	4	14	0	1	1	0	6	0	0	0	0	0	0	0	0	0	1	0	23	220	355	91	2	0	232	1	0
IHJHGAMB_01443	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	7	1	6	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	11	190	101	30	6	0	62	58	0
IHJHGAMB_01444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHJHGAMB_01445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	20	27	15	0	0	23	0	0
IHJHGAMB_01446	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	56	76	20	0	0	50	0	0
IHJHGAMB_01447	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	19	4	12	0	1	1	1	14	0	1	0	0	0	0	0	0	0	0	0	25	305	389	91	2	0	247	1	1
IHJHGAMB_01448	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	20	5	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	179	325	77	4	0	227	4	0
IHJHGAMB_01449	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	13	0	5	0	1	0	0	2	12	0	0	0	0	0	0	0	0	0	0	15	279	170	38	2	0	91	77	2
