	H005_102	H005_118_hybrid	H005_126	H005_137	H005_73_hybrid	H005_75	H005_77	H005_94	H005_97	H005_98_hybrid	H007_145	H007_146	H007_148	H007_154	H007_156	H007_157	H007_158	H007_162	H007_172	H007_176_hybrid	H007_181	H007_183	H007_187	H007_188	H007_190	H007_194	H009_202	H009_205	H009_211	H009_213	H009_215	H009_217	H009_218	H009_219	H009_220	H009_221_hybrid	H009_228	H009_230	H009_234	H009_236	H009_251	H009_255	H009_256	H009_259
H007_188	0.9923901211	0.9978469253000001	0.9905104732000001	0.9997271996	0.9937374079000001	0.9938248219	0.9938483612000001	0.7456091984000001	0.9937358284000001	0.9926358867	0.9979659417000001	0.9998859612000001	0.9998854679	0.9997911845	0.9994709304	0.9997172828	0.9997487743000001	0.9998797984000001	0.9999032984	0.9937465243	0.9997989879	0.9998958316000001	0.9998908340000001	1.0	0.9999066072	0.9998069340000001	0.9979279649	0.9977908608	0.9978907509	0.9938673640000001	0.9938457367	0.9978380408	0.9938717478	0.9978555464000001	0.9938401912	0.9938417983000001	0.9978223648000001	0.9956710203	0.9944398910000001	0.9978889399	0.9979802438	0.9977336921000001	0.9967801797	0.997862777
H007_190	0.9921729484	0.9976988845	0.9902292890000001	0.9999511703	0.9933101603000001	0.9933364837	0.9933664539	0.7453122709000001	0.9933435564	0.9925033566	0.9979501159	0.9999616606	0.9999346132	0.9999413883	0.9996121089000001	0.9999090964	0.9999125052000001	0.9999414786	0.9999492913	0.9933251788	0.9999391453	0.9999489266	0.9998685834000001	0.9998161321000001	1.0	0.9999538425000001	0.9979065149	0.9979206459000001	0.9979424950000001	0.9936848196	0.9937074623000001	0.9979272365	0.9936937792	0.9979075821000001	0.9936846876000001	0.9936388844	0.9979254987	0.995459584	0.9940336074	0.9977410425000001	0.9978259904000001	0.9978715821	0.9964881052000001	0.9979611177000001
H007_194	0.9922687933000001	0.9976993902000001	0.9904364954	0.9998580545	0.9934041126	0.9934335652	0.9934751422	0.7453483056	0.9934836631	0.9925387792	0.9979456098	0.9998881448	0.9999563724	0.9999051476	0.999439979	0.9998875596000001	0.9999262042	0.9999548042	0.9999107163000001	0.9935541440000001	0.9999374092000001	0.9999498093	0.9999499895	0.9998189031	0.9999595873	1.0	0.9978488870000001	0.9979058754000001	0.9979095873	0.9932941841	0.9933046102	0.9979791269	0.9933527502	0.9978625735000001	0.9933409674	0.9933593614	0.9978962316000001	0.9954456111000001	0.9940544628	0.9978152576	0.9978366912000001	0.997799575	0.9964957265000001	0.9979345239
H009_202	0.9927764720000001	0.9993942138	0.9908314337	0.9983486020000001	0.9935969247	0.9936112796000001	0.9936482553	0.7459121277	0.9935603707	0.992816345	0.9998508429	0.9983467974	0.9983061714	0.9983415831	0.9979800028	0.9983259628000001	0.9982511014000001	0.9983412824000001	0.9983722266	0.9931424651	0.9982641918	0.9984185010000001	0.9984803299	0.9982108929000001	0.9983850197	0.9983474634	1.0	0.9997119927	0.9998757627	0.9934953735000001	0.9935110890000001	0.9998669987000001	0.9935224398	0.9996655332000001	0.9935148344	0.9934689053	0.9998729551000001	0.9947544523	0.9944001477000001	0.9995812503	0.9996883434	0.9995594289	0.998122951	0.9998733707
H009_205	0.9924007778	0.9995120732	0.9903426425	0.9981836379000001	0.9934194580000001	0.9934937131	0.9935019162000001	0.7467951518	0.9934676084	0.9924434021	0.9997832203	0.9982195202	0.9981775372	0.9982680269	0.9978140484	0.9981969233	0.9982859686000001	0.9981931091	0.9982573836	0.9928317999	0.9982867124	0.9982248374	0.9982816166	0.9980726989	0.9982017461	0.9982609004	0.9997788008	1.0	0.9997466059000001	0.9932187014	0.9933071335	0.9999056068000001	0.9932925910000001	0.9997021128	0.9933007439	0.9932986362	0.9998600781	0.9950784981	0.9946115514	0.9994273269	0.9996096021	0.999660721	0.99816485	0.9997226493
H009_211	0.9919155855	0.9989982894	0.9896721705	0.9983306011	0.9929961890000001	0.9930397288	0.9930868102	0.746429501	0.992989717	0.9919245342	0.9994108639	0.9983772947	0.9983557757	0.9983394185000001	0.9979135417	0.9982167957	0.9982487328	0.9983340247	0.9983440292	0.9927648372000001	0.9982618425	0.9983908261000001	0.9984167332	0.9980470439	0.9983600421000001	0.9983107364	0.9992844517	0.9992493667000001	1.0	0.9924654184	0.9924786477	0.9993011432000001	0.9924799822	0.9997364789000001	0.9924978404	0.992491357	0.9993040182	0.9950892494	0.9944621672	0.9990731942000001	0.9992381759000001	0.9990957728000001	0.9982888441000001	0.9993260057000001
H009_213	0.9941085424	0.9935670778000001	0.9914590006	0.9935991119	0.9955282094000001	0.9956487805	0.9956631884	0.7467065419000001	0.9956545121	0.9943297061	0.9935508508	0.9936409536	0.9935812020000001	0.993570575	0.9934949969	0.9935808636000001	0.9935221119000001	0.9936017497	0.9935744407	0.9969888014	0.9935084071	0.9935653091000001	0.9936393266	0.9935707723	0.9935949539000001	0.9935819029	0.9935090398	0.9934455887	0.9933952142	1.0	0.9999737527	0.9935767679	0.9999523569000001	0.9933976034	0.999987978	0.9999859968	0.99347551	0.9950912202000001	0.9950621346	0.9936362804000001	0.9936093666	0.993439708	0.9943780980000001	0.9935283480000001
H009_215	0.9944595623	0.9940479501	0.9914563371	0.994204379	0.9959466007000001	0.9958870399	0.9959391731	0.7455155545000001	0.9958323095	0.994652678	0.9940627894	0.9942847717000001	0.994192621	0.9941889741000001	0.9941929646000001	0.9942446965	0.9941335657	0.9942052343000001	0.9942340185	0.9965970576000001	0.9940749615000001	0.9942040611	0.9942619772000001	0.9941702283	0.9942274168	0.9942106319	0.9939853965000001	0.9939295464000001	0.9936408318000001	0.9998925465	1.0	0.9940184478	0.9999334320000001	0.9936860302	0.9999554607000001	0.9999758221	0.9939094291	0.9948223164000001	0.9946962439	0.9939598936	0.9940618428	0.9939212481	0.9941155452	0.9939803767000001
H009_217	0.9929200177	0.9994469583000001	0.9908744884	0.9984127921	0.9935250969	0.9935649576000001	0.9936506970000001	0.7452727255	0.9935160327	0.9929271568	0.9998565631	0.9984542741	0.9984239629	0.9984576426	0.9981316149	0.998425365	0.9982938507	0.9984313804	0.9984457143000001	0.9932664465000001	0.998276526	0.9984597359	0.9984762205000001	0.9982623844	0.9984428632000001	0.9984439190000001	0.9998411822000001	0.9997935216	0.9998387119000001	0.9935649188000001	0.9935926570000001	1.0	0.9935754447	0.9996723511000001	0.9935837943	0.9935585268	0.9998972965	0.9950258999	0.9945154768000001	0.9996018294000001	0.9996880769	0.9996021629	0.9981444128	0.9998247731000001
H009_218	0.9944324043	0.9938941560000001	0.9911611879000001	0.9939925525000001	0.9958078739	0.9958502189	0.9958414561000001	0.7458233660000001	0.9958205266000001	0.9946637426	0.9938900761	0.994050618	0.9938873665000001	0.9939935216	0.9939816456	0.9940059691	0.9939034075000001	0.9939691389	0.9939664764	0.996820154	0.9938375633000001	0.9939692771	0.9940290025	0.9939725517	0.9939934455	0.9939838314	0.9938198082	0.9937828293000001	0.9935326647	0.9999407904000001	0.9999570051000001	0.9939187123000001	1.0	0.9935831086	0.9999705416	0.9999632098000001	0.9938207608	0.9950988006	0.9950630972000001	0.9939424711	0.9939467786	0.9937360396	0.9941663097000001	0.9938453226
H009_219	0.9920578991000001	0.999177183	0.989613845	0.9985983526000001	0.9934349545000001	0.9934568287000001	0.9935650319	0.7456539247	0.9934604068	0.9921020954	0.9994559498000001	0.9986213801	0.9985927966	0.998618226	0.9982073405	0.9985161868	0.9984620391000001	0.9985876688	0.9986173254	0.9930154548000001	0.998456957	0.9986227388000001	0.998647983	0.998335034	0.9985834915	0.9985740385	0.9992695289	0.9992428654000001	0.9998876512	0.9926685364000001	0.9927281235000001	0.9993770991	0.9926843739000001	1.0	0.9927244464	0.9926777221	0.9993966684000001	0.9951937298	0.9945890345	0.999188422	0.9992925650000001	0.9992394575	0.9982710663000001	0.9993763639000001
H009_220	0.9943951638	0.9940559676	0.9911358627	0.9941187960000001	0.9959660462000001	0.9959671336	0.9959917323	0.746793865	0.9959073414	0.9946273091000001	0.9940849496	0.9941793744	0.9940265882	0.9941058836000001	0.9941001084000001	0.9941709319	0.9939777957	0.9941289598	0.9941603467000001	0.9966440453000001	0.9939683684	0.9941141667000001	0.9941973513000001	0.9941067389	0.9941460731	0.9940565996	0.9939639115000001	0.9938916687	0.9936685732	0.9999435385000001	0.9999610321000001	0.9940665649	0.9999690353	0.9936362352	1.0	0.9999570547000001	0.993876509	0.9948204178000001	0.9947199294000001	0.9940070385	0.9941448669	0.9939375925	0.9943214481	0.9940193252
H009_221_hybrid	0.9937048664	0.9934763293000001	0.9899403971	0.993335571	0.9957820838	0.9958336217	0.9958652075000001	0.7516152137000001	0.9958137650000001	0.9939781676	0.9932111462000001	0.9932131015000001	0.9934141356	0.9934781815	0.9934396931	0.9933566989	0.9933244316000001	0.9935903032000001	0.9932756835000001	0.996602171	0.9933158836	0.9931611695	0.9934633445000001	0.9933572404000001	0.9933443469000001	0.9933620603000001	0.9930922910000001	0.9928429504	0.9930252381	0.9997605893	0.9998197814	0.9932152991000001	0.9997054707	0.9930466189	0.9998331038	1.0	0.9930496637	0.9945050738000001	0.9945523785	0.9932217513	0.9934431791	0.9929112860000001	0.9935446339	0.9930841592
H009_228	0.99252401	0.9994946487	0.9904272144	0.9980994096	0.9931999697	0.9932271995	0.9933056498	0.7459825	0.9932078989	0.9926437526	0.99977497	0.9980910129	0.9980598258000001	0.9980438016000001	0.9977119504	0.9979347726000001	0.9979517488	0.9980558961	0.9980788052	0.9931867041	0.9979694091	0.9980803486000001	0.9981189958000001	0.9980121348000001	0.9980296824	0.998037739	0.9997216780000001	0.9997032123	0.9998282512000001	0.9929790030000001	0.9930329454000001	0.9997977552	0.9930255995	0.9995653513	0.9930139952	0.9929795292	1.0	0.9951927141	0.9947066174	0.9996427888	0.9997194662000001	0.9995401596000001	0.9980656894000001	0.9998462933000001
H009_230	0.9932886147000001	0.995169111	0.9917351346000001	0.9956335676	0.9946587856	0.9947408246	0.9947988445	0.746442798	0.9947236296	0.9931745225	0.9954231114000001	0.9956609598	0.9956529052	0.9955636163	0.9956004914000001	0.9956938278	0.9954692732	0.9956730137	0.9956312775	0.9952671907	0.9955065395	0.9956303903	0.9956773317000001	0.9956011452	0.9956363647	0.9956038785	0.9953807557000001	0.9953116861	0.9959678977	0.9950967258000001	0.9950781147000001	0.9954467005000001	0.9950955888	0.9958099822	0.9950559262	0.9950282267	0.9953905617000001	1.0	0.9998510760000001	0.9953696683000001	0.9954467665000001	0.9952024311000001	0.9992379298	0.9954352735
H009_234	0.9926116571	0.9946450089000001	0.9914960371	0.9946347291000001	0.9945367853	0.9946121066	0.9946365613	0.745751379	0.9944117678000001	0.9926266687	0.9948330774	0.9946864534000001	0.9946582204000001	0.9946397613000001	0.9946471555	0.9947577320000001	0.9945134847	0.9946966107	0.9946910430000001	0.9949934364	0.994517763	0.9946785887	0.9947004978	0.9947078944000001	0.9946686089000001	0.9946298468	0.9948596013000001	0.9947052313	0.9954418233000001	0.9948624023	0.9948754310000001	0.9948162890000001	0.9948778952	0.9952503128	0.9948548934	0.9948778315000001	0.99477775	0.9998994629000001	1.0	0.9948993323	0.9949464352	0.9946280113	0.9990388806	0.9948468832
